Rmax,Rmin,D,C,H3nr,H3r,H1nr,H1r,YAMnr,YAMr,VICnr,VICr
(air),(air),(air),(air),0.00,0.00,0.00,0.91,0.00,0.03,0.04,1.00
1.25,0.5,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00
2,0.75,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
2.25,0.5,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,1,Nov,0.00,0.01,0.00,0.00,0.00,0.00,0.04,0.00
2.25,0.75,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,1,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,4,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,1,Nov,0.00,0.01,0.00,0.00,0.00,0.01,0.03,0.00
2.5,0.75,2,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,4,Nov,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
2.5,0.75,6,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,8,Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,1,Dec,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00
1.25,0.75,2,Dec,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
1.25,0.75,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,1,Dec,0.68,0.92,0.05,0.03,0.00,0.07,0.49,0.00
1.5,0.75,2,Dec,0.30,0.02,0.21,0.01,0.02,0.03,0.22,0.00
1.5,0.75,4,Dec,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00
1.5,0.75,6,Dec,0.00,0.00,0.24,0.00,0.01,0.01,0.00,0.00
1.5,0.75,8,Dec,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.75,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
1.75,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,8,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,2,Dec,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.00
1.75,0.75,4,Dec,0.01,0.04,0.03,0.01,0.05,0.07,0.03,0.00
1.75,0.75,6,Dec,0.00,0.00,0.13,0.03,0.20,0.13,0.00,0.00
1.75,0.75,8,Dec,0.00,0.00,0.04,0.01,0.17,0.07,0.00,0.00
2,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,6,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,8,Dec,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
2,0.75,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,2,Dec,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00
2,0.75,4,Dec,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
2,0.75,6,Dec,0.00,0.00,0.00,0.00,0.06,0.07,0.01,0.00
2,0.75,8,Dec,0.00,0.00,0.00,0.00,0.24,0.17,0.00,0.00
2.25,0.5,1,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,2,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,4,Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
