Rmax,Rmin,D,C,H3nr,H3r,H1nr,H1r,YAMnr,YAMr,VICnr,VICr
(air),(air),(air),(air),0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.95
1.25,0.5,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,6,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,8,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,1,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,2,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,4,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
